"","site","transect","observer","common.name","species","size_class","year","Count","area","zone","vis_m","taxa"
"1","Cape Alava",1,"JS","Black rockfish","SEME","large",2015,1,NA,"5",3,"SEME"
"2","Cape Alava",1,"JS","Blackeye goby","RHNI",NA,2015,0,NA,"5",3,"GOBI"
"3","Cape Alava",1,"JS","Buffalo sculpin","ENBI",NA,2015,0,NA,"5",3,"COTT"
"4","Cape Alava",1,"JS","Cabezon","SCMA",NA,2015,0,NA,"5",3,"SCMA"
"5","Cape Alava",1,"JS","Copper rockfish","SECA","large",2015,0,NA,"5",3,"SECA"
"6","Cape Alava",1,"JS","Kelp greenling","HEDE",NA,2015,1,NA,"5",3,"HEXA"
"7","Cape Alava",1,"JS","Lingcod","OPEL",NA,2015,0,NA,"5",3,"OPEL"
"8","Cape Alava",1,"JS","Painted greenling","OXPI",NA,2015,0,NA,"5",3,"HEXA"
"9","Cape Alava",1,"JS","Quillback rockfish","SEMA","large",2015,0,NA,"5",3,"SEMA"
"10","Cape Alava",1,"JS","Red Irish Lord","HEHE",NA,2015,0,NA,"5",3,"HEXA"
"11","Cape Alava",1,"JS","Rock greenling","HELA",NA,2015,1,NA,"5",3,"HEXA"
"12","Cape Alava",1,"JS","Striped seaperch","EMLA",NA,2015,0,NA,"5",3,"EMBI"
"13","Cape Alava",1,"JS","Tubesnout","AUFL",NA,2015,0,NA,"5",3,"AUFL"
"14","Cape Alava",1,"JS","YOY rockfish (black dorsal spots)","RYOY","small",2015,0,NA,"5",3,"RYOY"
"15","Cape Alava",1,"JS","bait-sardines-anchovy","BAITBALL",NA,2015,0,NA,"5",3,"BAIT"
"16","Cape Alava",1,"JS","blue rockfish","SEMY","large",2015,0,NA,"5",3,"SEMY"
"17","Cape Alava",1,"JS","blue rockfish","SEMY","small",2015,0,NA,"5",3,"SEMYyoy"
"18","Cape Alava",1,"JS","c-o sole","PLCO",NA,2015,0,NA,"5",3,"PLEU"
"19","Cape Alava",1,"JS","canary rockfish","SEPI","large",2015,0,NA,"5",3,"SEPI"
"20","Cape Alava",1,"JS","canary rockfish","SEPI","small",2015,0,NA,"5",3,"SEPIyoy"
"21","Cape Alava",1,"JS","china rockfish","SENE","large",2015,0,NA,"5",3,"SENE"
"22","Cape Alava",1,"JS","china rockfish","SENE","small",2015,0,NA,"5",3,"SENEyoy"
"23","Cape Alava",1,"JS","copper rockfish","SECA","small",2015,0,NA,"5",3,"SECAyoy"
"24","Cape Alava",1,"JS","greenlings","HEXA",NA,2015,0,NA,"5",3,"HEXA"
"25","Cape Alava",1,"JS","gunnels","PHOL",NA,2015,0,NA,"5",3,"PHOL"
"26","Cape Alava",1,"JS","herring","CLUP",NA,2015,0,NA,"5",3,"BAIT"
"27","Cape Alava",1,"JS","kelp clingfish","RIMU",NA,2015,0,NA,"5",3,"RIMU"
"28","Cape Alava",1,"JS","longfin sculpin","JOZO",NA,2015,0,NA,"5",3,"COTT"
"29","Cape Alava",1,"JS","manacled sculpin","SYGI",NA,2015,0,NA,"5",3,"COTT"
