"year","site","group.name","MEAN","SE.tot","area","zone","common.name","species","N.obs","SD"
1987,"Anderson Point","bivalve",0.02,0.0313049516849971,NA,5,NA,NA,NA,NA
1987,"Anderson Point","chiton",0.06,0.0500879226959953,NA,5,NA,NA,NA,NA
1987,"Anderson Point","crab",0,0,NA,5,NA,NA,NA,NA
1987,"Anderson Point","cucumber",0.3,0.136400146627487,NA,5,NA,NA,NA,NA
1987,"Anderson Point","gastropod",0.175,0.085146931829632,NA,5,NA,NA,NA,NA
1987,"Anderson Point","seastar",0.46,0.156524758424985,NA,5,NA,NA,NA,NA
1987,"Anderson Point","urchin",3.33,0.583837348925195,NA,5,NA,NA,NA,NA
1995,"Anderson Point","bivalve",0,0,NA,5,NA,NA,NA,NA
1995,"Anderson Point","chiton",0,0,NA,5,NA,NA,NA,NA
1995,"Anderson Point","crab",0,0,NA,5,NA,NA,NA,NA
1995,"Anderson Point","cucumber",0.38,0.275771644662754,NA,5,NA,NA,NA,NA
1995,"Anderson Point","nudibranch",0.13,0.125511453660612,NA,5,NA,NA,NA,NA
1995,"Anderson Point","urchin",0,0,NA,5,NA,NA,NA,NA
1999,"Anderson Point","bivalve",0,0,NA,5,NA,NA,NA,NA
1999,"Anderson Point","chiton",0,0,NA,5,NA,NA,NA,NA
1999,"Anderson Point","crab",0,0,NA,5,NA,NA,NA,NA
1999,"Anderson Point","cucumber",0.08,0.0140208424154388,NA,5,NA,NA,NA,NA
1999,"Anderson Point","nudibranch",0,0,NA,5,NA,NA,NA,NA
1999,"Anderson Point","seastar",0,0,NA,5,NA,NA,NA,NA
1999,"Anderson Point","urchin",0,0,NA,5,NA,NA,NA,NA
1987,"Cape Alava","bivalve",0.03,0.0491934955049954,NA,5,NA,NA,NA,NA
1987,"Cape Alava","chiton",0.59,0.162785748761985,NA,5,NA,NA,NA,NA
1987,"Cape Alava","crab",0.18,0.111803398874989,NA,5,NA,NA,NA,NA
1987,"Cape Alava","cucumber",0.99,0.373423352242465,NA,5,NA,NA,NA,NA
1987,"Cape Alava","gastropod",2.3,0.552912741759493,NA,5,NA,NA,NA,NA
1987,"Cape Alava","seastar",1.22,0.344963766213207,NA,5,NA,NA,NA,NA
1987,"Cape Alava","urchin",0.49,0.031528558482747,NA,5,NA,NA,NA,NA
1995,"Cape Alava","bivalve",0.11,0.114940978643078,NA,5,NA,NA,NA,NA
1995,"Cape Alava","chiton",0,0,NA,5,NA,NA,NA,NA
1995,"Cape Alava","crab",0.11,0.114940978643078,NA,5,NA,NA,NA,NA
1995,"Cape Alava","cucumber",0.23,0.158888999888961,NA,5,NA,NA,NA,NA
1995,"Cape Alava","nudibranch",0,0,NA,5,NA,NA,NA,NA
1995,"Cape Alava","urchin",0,0,NA,5,NA,NA,NA,NA
1999,"Cape Alava","bivalve",0.00909090909090909,0.0104972776216296,NA,5,NA,NA,NA,NA
1999,"Cape Alava","chiton",0,0,NA,5,NA,NA,NA,NA
1999,"Cape Alava","crab",0,0,NA,5,NA,NA,NA,NA
1999,"Cape Alava","cucumber",0.397272727272727,0.0551491840999217,NA,5,NA,NA,NA,NA
1999,"Cape Alava","nudibranch",0,0,NA,5,NA,NA,NA,NA
1999,"Cape Alava","seastar",0.266666667,0.185282222375957,NA,5,NA,NA,NA,NA
1999,"Cape Alava","urchin",0,0,NA,5,NA,NA,NA,NA
1987,"Cape Johnson","bivalve",0.14,0.169941166289984,NA,5,NA,NA,NA,NA
1987,"Cape Johnson","chiton",0.22,0.100131124032441,NA,5,NA,NA,NA,NA
1987,"Cape Johnson","crab",0,0,NA,5,NA,NA,NA,NA
1987,"Cape Johnson","cucumber",0.22,0.138636214604987,NA,5,NA,NA,NA,NA
1987,"Cape Johnson","gastropod",0.24,0.0773708601477326,NA,5,NA,NA,NA,NA
1987,"Cape Johnson","seastar",0.32,0.116189500386223,NA,5,NA,NA,NA,NA
1987,"Cape Johnson","urchin",0.12,0,NA,5,NA,NA,NA,NA
1995,"Cape Johnson","bivalve",0,0,NA,5,NA,NA,NA,NA
1995,"Cape Johnson","chiton",0,0,NA,5,NA,NA,NA,NA
1995,"Cape Johnson","crab",0,0,NA,5,NA,NA,NA,NA
1995,"Cape Johnson","cucumber",0,0,NA,5,NA,NA,NA,NA
1995,"Cape Johnson","nudibranch",0,0,NA,5,NA,NA,NA,NA
1995,"Cape Johnson","urchin",0,0,NA,5,NA,NA,NA,NA
1999,"Cape Johnson","bivalve",0,0,NA,5,NA,NA,NA,NA
1999,"Cape Johnson","chiton",0,0,NA,5,NA,NA,NA,NA
1999,"Cape Johnson","crab",0,0,NA,5,NA,NA,NA,NA
1999,"Cape Johnson","cucumber",0.0727272727272727,0.0209945552432591,NA,5,NA,NA,NA,NA
1999,"Cape Johnson","nudibranch",0,0,NA,5,NA,NA,NA,NA
1999,"Cape Johnson","seastar",0,0,NA,5,NA,NA,NA,NA
1999,"Cape Johnson","urchin",0,0,NA,5,NA,NA,NA,NA
1999,"Chibadehl Rocks","bivalve",0,0,NA,5,NA,NA,NA,NA
1999,"Chibadehl Rocks","chiton",0.0272727272727273,0.0104972776216296,NA,5,NA,NA,NA,NA
1999,"Chibadehl Rocks","crab",0,0,NA,5,NA,NA,NA,NA
1999,"Chibadehl Rocks","cucumber",0,0,NA,5,NA,NA,NA,NA
1999,"Chibadehl Rocks","nudibranch",0,0,NA,5,NA,NA,NA,NA
1999,"Chibadehl Rocks","seastar",0.4,0.222834405900562,NA,5,NA,NA,NA,NA
1999,"Chibadehl Rocks","urchin",0,0,NA,5,NA,NA,NA,NA
1999,"Destruction Island","bivalve",0,0,NA,5,NA,NA,NA,NA
1999,"Destruction Island","chiton",0,0,NA,5,NA,NA,NA,NA
1999,"Destruction Island","crab",0,0,NA,5,NA,NA,NA,NA
1999,"Destruction Island","cucumber",0.13,0.13327915565959,NA,5,NA,NA,NA,NA
1999,"Destruction Island","nudibranch",0,0,NA,5,NA,NA,NA,NA
1999,"Destruction Island","seastar",0.666666667,0.276818266150322,NA,5,NA,NA,NA,NA
1999,"Destruction Island","urchin",0,0,NA,5,NA,NA,NA,NA
1987,"Neah Bay","bivalve",0,0,NA,5,NA,NA,NA,NA
1987,"Neah Bay","chiton",0.04,0.0316227766016838,NA,5,NA,NA,NA,NA
1987,"Neah Bay","crab",0,0,NA,5,NA,NA,NA,NA
1987,"Neah Bay","cucumber",0.3,0.0989760071936628,NA,5,NA,NA,NA,NA
1987,"Neah Bay","gastropod",0.475,0.148153214612441,NA,5,NA,NA,NA,NA
1987,"Neah Bay","seastar",0.72,0.144481832767999,NA,5,NA,NA,NA,NA
1987,"Neah Bay","urchin",16.72,1.52567403137105,NA,5,NA,NA,NA,NA
1995,"Neah Bay","bivalve",0,0,NA,5,NA,NA,NA,NA
1995,"Neah Bay","chiton",0.25,0.25,NA,5,NA,NA,NA,NA
1995,"Neah Bay","crab",0,0,NA,5,NA,NA,NA,NA
1995,"Neah Bay","cucumber",0,0,NA,5,NA,NA,NA,NA
1995,"Neah Bay","nudibranch",0,0,NA,5,NA,NA,NA,NA
1995,"Neah Bay","urchin",0.5,0.5,NA,5,NA,NA,NA,NA
1999,"Neah Bay","bivalve",0,0,NA,5,NA,NA,NA,NA
1999,"Neah Bay","chiton",0,0,NA,5,NA,NA,NA,NA
1999,"Neah Bay","crab",0,0,NA,5,NA,NA,NA,NA
1999,"Neah Bay","cucumber",0,0,NA,5,NA,NA,NA,NA
1999,"Neah Bay","nudibranch",0,0,NA,5,NA,NA,NA,NA
1999,"Neah Bay","seastar",0,0,NA,5,NA,NA,NA,NA
1999,"Neah Bay","urchin",0,0,NA,5,NA,NA,NA,NA
1987,"Point of the Arches","bivalve",0,0,NA,5,NA,NA,NA,NA
1987,"Point of the Arches","chiton",0.11,0,NA,5,NA,NA,NA,NA
1987,"Point of the Arches","crab",0,0,NA,5,NA,NA,NA,NA
